#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20:50:11       0     11     43      -      0      0      0      0      -      -    405    544      0      2      0 
 20:50:11       1     11     42      -      0      0      0      0      -      -    405    544      0      2      0 
 20:50:11       2     12     41      -      0      0      0      0      -      -    405    544      0      2      0 
 20:50:11       3     11     40      -      0      0      0      0      -      -    405    544      0      2      0 
 20:50:41       0     51     46      -      0      0      0      0      -      -   3615   1303  10401      2      0 
 20:50:41       1     52     45      -      0      0      0      0      -      -   3615   1303  10401      2      0 
 20:50:41       2     53     44      -      0      0      0      0      -      -   3615   1303  10401      2      0 
 20:50:41       3     52     44      -      0      0      0      0      -      -   3615   1303  10401      2      0 
 20:51:11       0    142     56      -     92     19      0      0      -      -   3615   1531  10485      2      0 
 20:51:11       1    140     54      -     92     19      0      0      -      -   3615   1531  10485      2      0 
 20:51:11       2    124     52      -     95     19      0      0      -      -   3615   1531  10485      2      0 
 20:51:11       3    124     53      -     95     19      0      0      -      -   3615   1531  10485      2      0 
 20:51:41       0    139     63      -     93     19      0      0      -      -   3615   1531  10485      2      0 
 20:51:41       1    123     62      -     93     18      0      0      -      -   3615   1531  10485      2      0 
 20:51:41       2    151     59      -     95     19      0      0      -      -   3615   1531  10485      2      0 
 20:51:41       3    146     59      -     96     18      0      0      -      -   3615   1531  10485      2      0 
 20:52:11       0    156     68      -     93     17      0      0      -      -   3615   1531  10485      2      0 
 20:52:11       1    139     67      -     93     19      0      0      -      -   3615   1531  10485      2      0 
 20:52:11       2    142     64      -     96     17      0      0      -      -   3615   1531  10485      2      0 
 20:52:11       3    160     64      -     96     17      0      0      -      -   3615   1531  10485      2      0 
 20:52:41       0    146     72      -     93     18      0      0      -      -   3615   1531  10485      2      0 
 20:52:41       1    177     71      -     94     16      0      0      -      -   3615   1531  10485      2      0 
 20:52:41       2    158     67      -     96     16      0      0      -      -   3615   1531  10485      2      0 
 20:52:41       3    136     66      -     96     16      0      0      -      -   3615   1531  10485      2      0 
 20:53:11       0     77     73      -     67     15      0      0      -      -   3615   1531  10485      2      0 
 20:53:11       1     76     72      -     59     13      0      0      -      -   3615   1531  10485      2      0 
 20:53:11       2     77     68      -     74     16      0      0      -      -   3615   1531  10485      2      0 
 20:53:11       3     71     67      -     74     16      0      0      -      -   3615   1531  10485      2      0 
 20:53:41       0    134     74      -     93     19      0      0      -      -   3615   1531  10485      2      0 
 20:53:41       1    122     73      -     92     19      0      0      -      -   3615   1531  10485      2      0 
 20:53:41       2    144     69      -     95     18      0      0      -      -   3615   1531  10485      2      0 
 20:53:41       3    144     68      -     95     19      0      0      -      -   3615   1531  10485      2      0 
 20:54:11       0    142     74      -     94     17      0      0      -      -   3615   1531  10485      2      0 
 20:54:11       1    131     73      -     93     17      0      0      -      -   3615   1531  10485      2      0 
 20:54:11       2    145     70      -     96     17      0      0      -      -   3615   1531  10485      2      0 
