depth,content,mult
0,json,1.954
0,code,1.734
0,chat,1.066
0,prose,1.054
8192,json,1.926
8192,code,1.758
8192,chat,1.01
8192,prose,1.024
16384,json,1.941
16384,code,1.66
16384,chat,1.012
16384,prose,1.061
32768,json,1.957
32768,code,1.668
32768,chat,1.106
32768,prose,1.023
49152,json,1.969
49152,code,1.729
49152,chat,1.032
49152,prose,1.057
65536,json,2.006
65536,code,1.744
65536,chat,1.077
65536,prose,0.999
98304,json,2.016
98304,code,1.714
98304,chat,1.021
98304,prose,0.996
131072,json,2.058
131072,code,1.716
131072,chat,1.079
131072,prose,1.024
147456,json,2.027
147456,code,1.82
147456,chat,1.073
147456,prose,1.03
163840,json,2.017
163840,code,1.858
163840,chat,1.084
163840,prose,1.072
174000,json,2.112
174000,code,1.907
174000,chat,1.052
174000,prose,1.037
