#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:11:58       0      0      0 
 19:11:58       1      9      0 
 19:11:58       2      0      0 
 19:11:58       3      0      0 
 19:11:59       0      0      0 
 19:11:59       1      0      0 
 19:11:59       2      0      0 
 19:11:59       3      0      0 
 19:12:01       0      0      0 
 19:12:01       1      1      0 
 19:12:01       2      0      0 
 19:12:01       3      0      0 
 19:12:02       0    704     91 
 19:12:02       1    963     81 
 19:12:02       2    708     50 
 19:12:02       3    546     81 
 19:12:03       0   1233    118 
 19:12:03       1   1241     91 
 19:12:03       2    960     49 
 19:12:03       3    357     81 
 19:12:04       0    963     81 
 19:12:04       1    853     61 
 19:12:04       2    492     92 
 19:12:04       3    963    130 
 19:12:05       0    955     87 
 19:12:05       1   1299     84 
 19:12:05       2   1363     55 
 19:12:05       3    737     46 
 19:12:06       0    720    129 
 19:12:06       1    633    108 
 19:12:06       2   1235     75 
 19:12:06       3    491    105 
 19:12:08       0    774     72 
 19:12:08       1   1226     84 
 19:12:08       2    953     60 
 19:12:08       3    592     46 
 19:12:09       0      0      0 
 19:12:09       1      0      0 
 19:12:09       2      0      0 
 19:12:09       3      0      0 
 19:12:10       0   2209   2374 
 19:12:10       1   1643   1788 
 19:12:10       2   2211   2334 
 19:12:10       3   1667   1788 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:12:11       0   2210   2363 
 19:12:11       1   1538   1796 
 19:12:11       2   2212   2381 
 19:12:11       3   1747   1785 
 19:12:12       0   2209   2349 
 19:12:12       1   1358   1811 
 19:12:12       2   2210   2038 
 19:12:12       3   1968   1869 
 19:12:13       0   2209   2218 
 19:12:13       1   1244   1862 
 19:12:13       2   2211   2290 
 19:12:13       3   1594   2342 
 19:12:15       0   2209   2381 
 19:12:15       1   1841   2047 
 19:12:15       2   1945   2363 
 19:12:15       3   1944   1783 
 19:12:16       0    223    287 
 19:12:16       1    217    157 
 19:12:16       2     98      0 
 19:12:16       3      0      4 
 19:12:17       0    207    159 
 19:12:17       1    209    162 
 19:12:17       2    220    155 
 19:12:17       3    228    154 
 19:12:18       0    215    160 
 19:12:18       1    211    160 
 19:12:18       2    215    158 
 19:12:18       3    223    155 
 19:12:19       0    219    157 
 19:12:19       1    213    160 
 19:12:19       2    213    157 
 19:12:19       3    203    154 
 19:12:20       0    228    160 
 19:12:20       1    226    156 
 19:12:20       2    220    159 
 19:12:20       3    216    160 
 19:12:22       0    225    154 
 19:12:22       1    227    153 
 19:12:22       2    226    155 
 19:12:22       3    222    157 
 19:12:23       0    220    157 
 19:12:23       1    227    154 
 19:12:23       2    226    155 
 19:12:23       3    229    155 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:12:24       0    213    160 
 19:12:24       1    220    158 
 19:12:24       2    225    156 
 19:12:24       3    228    155 
 19:12:25       0    212    160 
 19:12:25       1    211    160 
 19:12:25       2    233    156 
 19:12:25       3    221    158 
 19:12:26       0    220    159 
 19:12:26       1    217    159 
 19:12:26       2    210    160 
 19:12:26       3    214    158 
 19:12:27       0    226    153 
 19:12:27       1    222    157 
 19:12:27       2    216    160 
 19:12:27       3    214    158 
 19:12:29       0    219    158 
 19:12:29       1    226    156 
 19:12:29       2    229    154 
 19:12:29       3    228    152 
 19:12:30       0    213    160 
 19:12:30       1    217    158 
 19:12:30       2    221    155 
 19:12:30       3    228    154 
 19:12:31       0    212    160 
 19:12:31       1    214    160 
 19:12:31       2    216    158 
 19:12:31       3    224    155 
 19:12:32       0    219    157 
 19:12:32       1    217    160 
 19:12:32       2    209    160 
 19:12:32       3    210    164 
 19:12:33       0    227    156 
 19:12:33       1    219    157 
 19:12:33       2    215    157 
 19:12:33       3    213    160 
 19:12:34       0      9      0 
 19:12:34       1      0      0 
 19:12:34       2      0      0 
 19:12:34       3      0      0 
