#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:11:22       0      1      0 
 19:11:22       1      1      0 
 19:11:22       2      0      0 
 19:11:22       3      0      0 
 19:11:23       0      0      0 
 19:11:23       1      0      0 
 19:11:23       2      0      0 
 19:11:23       3      0      0 
 19:11:25       0      0      0 
 19:11:25       1      0      0 
 19:11:25       2      0      0 
 19:11:25       3      0      0 
 19:11:26       0    953     84 
 19:11:26       1    954     73 
 19:11:26       2    613     53 
 19:11:26       3    953     84 
 19:11:27       0    967     81 
 19:11:27       1    853     58 
 19:11:27       2    546     81 
 19:11:27       3   1241    101 
 19:11:28       0   1258     76 
 19:11:28       1   1299     84 
 19:11:28       2    953     60 
 19:11:28       3    592     46 
 19:11:29       0   1226     84 
 19:11:29       1    953     74 
 19:11:29       2    491     81 
 19:11:29       3    963    110 
 19:11:30       0   1067     75 
 19:11:30       1    575    129 
 19:11:30       2    897    108 
 19:11:30       3   1237     87 
 19:11:31       0    953     60 
 19:11:31       1    592     89 
 19:11:31       2    953     84 
 19:11:31       3   1404     49 
 19:11:33       0      0      0 
 19:11:33       1      0      0 
 19:11:33       2      0      0 
 19:11:33       3      0      0 
 19:11:34       0   1731   1774 
 19:11:34       1   2211   2381 
 19:11:34       2   1665   1435 
 19:11:34       3   1901   2286 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:11:35       0   1664   2033 
 19:11:35       1   1914   2381 
 19:11:35       2   1665   1383 
 19:11:35       3   1820   2381 
 19:11:36       0   1676   1769 
 19:11:36       1   2209   2381 
 19:11:36       2   1665   1426 
 19:11:36       3   1866   2288 
 19:11:37       0   1693   2254 
 19:11:37       1   2211   2381 
 19:11:37       2   1665   1803 
 19:11:37       3   1666   2381 
 19:11:38       0   1907   1792 
 19:11:38       1   1854   2381 
 19:11:38       2   2211   1829 
 19:11:38       3   1650   2377 
 19:11:40       0      3     22 
 19:11:40       1    225    289 
 19:11:40       2    218    157 
 19:11:40       3     93      0 
 19:11:41       0    213    161 
 19:11:41       1    215    160 
 19:11:41       2    208    166 
 19:11:41       3    221    157 
 19:11:42       0    221    156 
 19:11:42       1    217    158 
 19:11:42       2    212    160 
 19:11:42       3    211    160 
 19:11:43       0    227    156 
 19:11:43       1    235    156 
 19:11:43       2    219    158 
 19:11:43       3    214    160 
 19:11:44       0    224    156 
 19:11:44       1    228    154 
 19:11:44       2    229    155 
 19:11:44       3    227    157 
 19:11:45       0    214    158 
 19:11:45       1    223    157 
 19:11:45       2    228    154 
 19:11:45       3    228    156 
 19:11:47       0    204    163 
 19:11:47       1    218    156 
 19:11:47       2    228    154 
 19:11:47       3    230    152 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:11:48       0    217    159 
 19:11:48       1    215    159 
 19:11:48       2    211    160 
 19:11:48       3    220    158 
 19:11:49       0    224    155 
 19:11:49       1    221    159 
 19:11:49       2    216    160 
 19:11:49       3    212    160 
 19:11:50       0    227    154 
 19:11:50       1    226    156 
 19:11:50       2    220    158 
 19:11:50       3    215    160 
 19:11:51       0    224    154 
 19:11:51       1    228    156 
 19:11:51       2    228    153 
 19:11:51       3    225    157 
 19:11:52       0    234    160 
 19:11:52       1    213    159 
 19:11:52       2    216    158 
 19:11:52       3    221    157 
 19:11:54       0    229    156 
 19:11:54       1    217    159 
 19:11:54       2    211    160 
 19:11:54       3    211    160 
 19:11:55       0    226    158 
 19:11:55       1    237    157 
 19:11:55       2    220    160 
 19:11:55       3    215    158 
 19:11:56       0    228    154 
 19:11:56       1    228    154 
 19:11:56       2    227    156 
 19:11:56       3    217    160 
 19:11:57       0    220    157 
 19:11:57       1    226    154 
 19:11:57       2    227    154 
 19:11:57       3    228    158 
 19:11:58       0      0      0 
 19:11:58       1      1      0 
 19:11:58       2      1      0 
 19:11:58       3      0      0 
