#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:13:16       0      0      0 
 19:13:16       1      1      0 
 19:13:16       2      0      0 
 19:13:16       3      0      0 
 19:13:18       0      0      0 
 19:13:18       1      0      0 
 19:13:18       2      0      0 
 19:13:18       3      0      0 
 19:13:19       0      0      0 
 19:13:19       1      0      0 
 19:13:19       2      0      0 
 19:13:19       3      0      0 
 19:13:20       0   1906    149 
 19:13:20       1   1621    163 
 19:13:20       2      0      0 
 19:13:20       3      0      0 
 19:13:21       0   2453    166 
 19:13:21       1   2355    189 
 19:13:21       2      0      0 
 19:13:21       3      0      0 
 19:13:22       0   2746    180 
 19:13:22       1   2190    206 
 19:13:22       2      0      0 
 19:13:22       3      0      0 
 19:13:23       0   1894    206 
 19:13:23       1   1916    163 
 19:13:23       2      0      0 
 19:13:23       3      0      0 
 19:13:25       0   1920    137 
 19:13:25       1   1471    177 
 19:13:25       2      0      0 
 19:13:25       3      0      0 
 19:13:26       0      0      0 
 19:13:26       1      0      0 
 19:13:26       2      0      0 
 19:13:26       3      0      0 
 19:13:27       0      0      0 
 19:13:27       1      0      0 
 19:13:27       2      0      0 
 19:13:27       3      0      0 
 19:13:28       0   1121    942 
 19:13:28       1    792   1194 
 19:13:28       2      0      0 
 19:13:28       3      0      0 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:13:29       0    687   1195 
 19:13:29       1   1122    805 
 19:13:29       2      0      0 
 19:13:29       3      0      0 
 19:13:30       0   1122   1194 
 19:13:30       1   1122    602 
 19:13:30       2      0      0 
 19:13:30       3      0      0 
 19:13:32       0    834    624 
 19:13:32       1   1121    777 
 19:13:32       2      0      0 
 19:13:32       3      0      0 
 19:13:33       0    577   1195 
 19:13:33       1   1122    743 
 19:13:33       2      0      0 
 19:13:33       3      0      0 
 19:13:34       0    123     87 
 19:13:34       1    128     66 
 19:13:34       2      0      0 
 19:13:34       3      0      0 
 19:13:35       0    131     68 
 19:13:35       1    123     70 
 19:13:35       2      0      0 
 19:13:35       3      0      0 
 19:13:36       0    122     87 
 19:13:36       1    127     68 
 19:13:36       2      0      0 
 19:13:36       3      0      0 
 19:13:37       0    132     68 
 19:13:37       1    107     70 
 19:13:37       2      0      0 
 19:13:37       3      0      0 
 19:13:39       0    122     87 
 19:13:39       1    127     68 
 19:13:39       2      0      0 
 19:13:39       3      0      0 
 19:13:40       0    133     68 
 19:13:40       1    111     94 
 19:13:40       2      0      0 
 19:13:40       3      0      0 
 19:13:41       0    122     87 
 19:13:41       1    127     68 
 19:13:41       2      0      0 
 19:13:41       3      0      0 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:13:42       0    111     68 
 19:13:42       1    122     88 
 19:13:42       2      0      0 
 19:13:42       3      0      0 
 19:13:43       0    123     87 
 19:13:43       1    128     68 
 19:13:43       2      0      0 
 19:13:43       3      0      0 
 19:13:44       0    134     68 
 19:13:44       1    123     89 
 19:13:44       2      0      0 
 19:13:44       3      0      0 
 19:13:46       0    122     87 
 19:13:46       1    129     68 
 19:13:46       2      0      0 
 19:13:46       3      0      0 
 19:13:47       0    132     69 
 19:13:47       1    122     88 
 19:13:47       2      0      0 
 19:13:47       3      0      0 
 19:13:48       0    124     85 
 19:13:48       1    131     68 
 19:13:48       2      0      0 
 19:13:48       3      0      0 
 19:13:49       0    132     68 
 19:13:49       1    123     88 
 19:13:49       2      0      0 
 19:13:49       3      0      0 
 19:13:50       0      0     54 
 19:13:50       1    126     68 
 19:13:50       2      0      0 
 19:13:50       3      0      0 
 19:13:51       0    128     68 
 19:13:51       1    127     69 
 19:13:51       2      0      0 
 19:13:51       3      0      0 
 19:13:53       0    122     88 
 19:13:53       1    127     66 
 19:13:53       2      0      0 
 19:13:53       3      0      0 
 19:13:54       0    127     68 
 19:13:54       1    128     69 
 19:13:54       2      0      0 
 19:13:54       3      0      0 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:13:55       0    121     88 
 19:13:55       1    126     68 
 19:13:55       2      0      0 
 19:13:55       3      0      0 
 19:13:56       0    129     69 
 19:13:56       1    125     70 
 19:13:56       2      0      0 
 19:13:56       3      0      0 
 19:13:57       0    122     87 
 19:13:57       1    126     66 
 19:13:57       2      0      0 
 19:13:57       3      0      0 
 19:13:58       0      0      0 
 19:13:58       1      0      0 
 19:13:58       2      0      0 
 19:13:58       3      0      0 
