#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:12:34       0      0      0 
 19:12:34       1      3      0 
 19:12:34       2      0      0 
 19:12:34       3      0      0 
 19:12:36       0      0      0 
 19:12:36       1      0      0 
 19:12:36       2      0      0 
 19:12:36       3      0      0 
 19:12:37       0      0      0 
 19:12:37       1      0      0 
 19:12:37       2      0      0 
 19:12:37       3      0      0 
 19:12:38       0   2504    179 
 19:12:38       1   2434    128 
 19:12:38       2      0      0 
 19:12:38       3      0      0 
 19:12:39       0   2133    200 
 19:12:39       1   1916    240 
 19:12:39       2      0      0 
 19:12:39       3      0      0 
 19:12:40       0   2398    175 
 19:12:40       1   2357    137 
 19:12:40       2      0      0 
 19:12:40       3      0      0 
 19:12:41       0   1916    163 
 19:12:41       1   1705    123 
 19:12:41       2      0      0 
 19:12:41       3      0      0 
 19:12:43       0   2733    166 
 19:12:43       1   2211    208 
 19:12:43       2      0      0 
 19:12:43       3      0      0 
 19:12:44       0      0      0 
 19:12:44       1      0      0 
 19:12:44       2      0      0 
 19:12:44       3      0      0 
 19:12:45       0      8     46 
 19:12:45       1   1190   1195 
 19:12:45       2      0      0 
 19:12:45       3      0      0 
 19:12:46       0   5807   1610 
 19:12:46       1   1122    875 
 19:12:46       2      0      0 
 19:12:46       3      0      0 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:12:47       0   1122   1195 
 19:12:47       1   1122    828 
 19:12:47       2      0      0 
 19:12:47       3      0      0 
 19:12:48       0   1123   1195 
 19:12:48       1    577   1195 
 19:12:48       2      0      0 
 19:12:48       3      0      0 
 19:12:50       0    861    621 
 19:12:50       1   1122   1195 
 19:12:50       2      0      0 
 19:12:50       3      0      0 
 19:12:51       0    576    752 
 19:12:51       1   1121    602 
 19:12:51       2      0      0 
 19:12:51       3      0      0 
 19:12:52       0    124     88 
 19:12:52       1    132     68 
 19:12:52       2      0      0 
 19:12:52       3      0      0 
 19:12:53       0    133     68 
 19:12:53       1    122     88 
 19:12:53       2      0      0 
 19:12:53       3      0      0 
 19:12:54       0    125     86 
 19:12:54       1    133     68 
 19:12:54       2      0      0 
 19:12:54       3      0      0 
 19:12:55       0    131     68 
 19:12:55       1    124     88 
 19:12:55       2      0      0 
 19:12:55       3      0      0 
 19:12:56       0    126     85 
 19:12:56       1    131     68 
 19:12:56       2      0      0 
 19:12:56       3      0      0 
 19:12:58       0    133     69 
 19:12:58       1    122     89 
 19:12:58       2      0      0 
 19:12:58       3      0      0 
 19:12:59       0    121     87 
 19:12:59       1    128     68 
 19:12:59       2      0      0 
 19:12:59       3      0      0 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:13:00       0    128     66 
 19:13:00       1    132     68 
 19:13:00       2      0      0 
 19:13:00       3      0      0 
 19:13:01       0    124     70 
 19:13:01       1    125     86 
 19:13:01       2      0      0 
 19:13:01       3      0      0 
 19:13:02       0    126     67 
 19:13:02       1    132     69 
 19:13:02       2      0      0 
 19:13:02       3      0      0 
 19:13:03       0    125     70 
 19:13:03       1    127     85 
 19:13:03       2      0      0 
 19:13:03       3      0      0 
 19:13:05       0    128     66 
 19:13:05       1    134     68 
 19:13:05       2      0      0 
 19:13:05       3      0      0 
 19:13:06       0    129     69 
 19:13:06       1    124     86 
 19:13:06       2      0      0 
 19:13:06       3      0      0 
 19:13:07       0    126     66 
 19:13:07       1    134     68 
 19:13:07       2      0      0 
 19:13:07       3      0      0 
 19:13:08       0    122     70 
 19:13:08       1    126     64 
 19:13:08       2      0      0 
 19:13:08       3      0      0 
 19:13:09       0    126     66 
 19:13:09       1    130     68 
 19:13:09       2      0      0 
 19:13:09       3      0      0 
 19:13:10       0    123     71 
 19:13:10       1    126     63 
 19:13:10       2      0      0 
 19:13:10       3      0      0 
 19:13:12       0    127     67 
 19:13:12       1    132     69 
 19:13:12       2      0      0 
 19:13:12       3      0      0 
#Time         gpu  rxpci  txpci 
#HH:MM:SS     Idx   MB/s   MB/s 
 19:13:13       0    122     71 
 19:13:13       1    126     60 
 19:13:13       2      0      0 
 19:13:13       3      0      0 
 19:13:14       0    127     66 
 19:13:14       1    132     68 
 19:13:14       2      0      0 
 19:13:14       3      0      0 
 19:13:15       0    126     69 
 19:13:15       1    133     86 
 19:13:15       2      0      0 
 19:13:15       3      0      0 
 19:13:16       0      0      0 
 19:13:16       1      8      0 
 19:13:16       2      0      0 
 19:13:16       3      0      0 
